,cellName,cellMarker
0,Natural killer cell,ITGAM
1,Natural killer cell,FCGR3A
2,Natural killer cell,FCGR3B
3,Natural killer cell,CD19
4,Natural killer cell,CD2
5,Natural killer cell,CD3D
6,Natural killer cell,CD3E
7,Natural killer cell,CD3G
8,Natural killer cell,NCAM1
9,Natural killer cell,KLRD1
10,Natural killer cell,KLRC1
11,CD4+ T cell,CCR6
12,Anterior foregut endoderm cell,CPM
13,Circulating fetal cell,ACTB
14,Circulating fetal cell,ATF4
15,Circulating fetal cell,CD33
16,Circulating fetal cell,CD68
17,Circulating fetal cell,CD9
18,Circulating fetal cell,CDC42
19,Circulating fetal cell,CLDN6
20,Circulating fetal cell,COL1A2
21,Circulating fetal cell,CRABP1
22,Circulating fetal cell,CRIP1
23,Circulating fetal cell,CRYL1
24,Circulating fetal cell,CTNNB1
25,Circulating fetal cell,DLX5
26,Circulating fetal cell,EN1
27,Circulating fetal cell,F11R
28,Circulating fetal cell,FOXA2
29,Circulating fetal cell,GATA5
30,Circulating fetal cell,HAMP
31,Circulating fetal cell,HMGA1
32,Circulating fetal cell,IL7R
33,Circulating fetal cell,JUN
34,Circulating fetal cell,JUNB
35,Circulating fetal cell,KCNQ4
36,Circulating fetal cell,MCAM
37,Circulating fetal cell,MMP9
38,Circulating fetal cell,OLIG2
39,Circulating fetal cell,PBLD
40,Circulating fetal cell,PDGFC
41,Circulating fetal cell,PF4
42,Circulating fetal cell,PUM2
43,Circulating fetal cell,SELE
44,Circulating fetal cell,SELPLG
45,Circulating fetal cell,SMAD3
46,Circulating fetal cell,SMC3
47,Circulating fetal cell,SOX13
48,Circulating fetal cell,TCF3
49,Circulating fetal cell,TNC
50,Natural regulatory T (Treg) cell,CD6
51,FOXP3+ natural regulatory T (Treg) cell,IL2RA
52,FOXP3+ natural regulatory T (Treg) cell,CD4
53,Platelet,CD14
54,Leukocyte,GP1BA
55,Cancer stem cell,PROM1
56,Plasmacytoid dendritic cell,NRP1
59,Responder T cell,LRRC32
60,Cancer stem cell,CD44
61,Cancer stem cell,ALDH1A1
62,Cancer stem cell,ALCAM
63,Cancer stem cell,THY1
64,Immature transitional B cell,CD24
65,Immature transitional B cell,CD38
66,Memory B cell,CD27
67,Plasmablast,CD40LG
68,Effector CD4+ memory T (Tem) cell,CCR7
69,B cell,AICDA
70,B cell,MME
71,B cell,TNFSF13B
72,B cell,CD28
73,B cell,TFRC
74,B cell,CD86
75,Regulatory T (Treg) cell,ITGA4
77,B cell,MS4A1
78,Lymphocyte,ANXA5
79,Lymphocyte,CX3CR1
81,Endothelial cell,PECAM1
83,Granulocyte,CEACAM8
84,Regulatory T (Treg) cell,TNFRSF18
85,Vascular stem cell,KIT
86,Vascular stem cell,MKI67
87,T cell,CD8A
88,Lymphoid cell,GZMB
89,Lymphoid cell,TIA1
90,Basal cell,CD151
91,Decidual cell,BHLHE40
92,Activated CD4+ T cell,ITGB1
93,Basophil,IL3RA
94,Cancer cell,FOLH1
95,Cancer cell,EPCAM
96,Cancer cell,ERBB2
97,Cancer cell,NPEPPS
98,Cancer stem cell,CDH2
99,Cancer stem cell,TEK
100,Natural killer cell,NCR1
101,Angiogenic T cell,CXCR4
102,Cancer cell,PLAUR
103,Malignant mesothelioma cell,MUC16
104,Cancer stem cell,MET
105,Platelet,ITGA2B
106,Platelet,ITGB3
107,Platelet,SELP
108,Monocyte,ICAM4
109,Monocyte,CD244
110,Monocyte,COX2
111,Monocyte,MPO
112,Naive CD4+ T cell,SELL
113,Pulmonary alveolar type II cells,PGC
114,Migrating cancer stem cell,MPL
115,Migrating cancer stem cell,CDCP1
117,T cell,UCHL1
118,Monocyte,ITGB2
119,Basophil,SMAD1
120,Cancer cell,CDH1
121,Cancer cell,MUC1
122,Cancer cell,KLK3
123,Cancer cell,KRT8
124,Cancer cell,KRT18
125,Activated CD4+ T cell,CD69
126,Activated CD4+ T cell,CXCR3
127,CD8+ T cell,TNFRSF8
128,Basophil,ENPP3
129,Basophil,CD63
130,Basophil,CCR3
131,Basophil,CD22
132,Cancer stem cell,MYC
133,Cancer stem cell,NES
134,Cancer stem cell,DCLK1
135,Eosinophil,CEACAM5
136,Eosinophil,CSF3R
137,Eosinophil,CSF2RA
138,Eosinophil,IL4R
139,Eosinophil,IL5RA
140,Eosinophil,IL6R
141,Circulating fetal cell,F3
142,Circulating fetal cell,MMP14
143,Basophil,CCR5
144,Plasmacytoid dendritic cell,THBD
145,Cancer stem cell,ABCG2
146,Cancer stem cell,ABCB1
147,Cancer stem cell,GLI1
148,Cancer stem cell,PDPN
149,Cancer stem cell,NANOG
150,Cancer stem cell,POU5F1
151,Cancer stem cell,SOX2
152,Cancer stem cell,KLF4
153,Cancer stem cell,MSI1
154,Cancer stem cell,ABCG5
155,Cancer stem cell,FLOT2
156,Cancer stem cell,BMI1
157,Cancer stem cell,TP63
158,Clara cell,SCGB1A1
159,Dendritic cell,CD1C
160,Dendritic cell,CLEC4C
161,Dendritic cell,ITGAX
162,Dendritic cell,CD209
163,Dendritic cell,CD83
164,Dendritic cell,CD1A
165,Endothelial cell,CDH5
166,Endothelial cell,VWF
167,Endothelial cell,LYVE1
168,Endothelial cell,ESM1
169,Endothelial cell,FLT1
170,Endothelial cell,EMCN
171,Eosinophil,CD48
172,Eosinophil,ICAM1
173,Eosinophil,CD81
174,Eosinophil,RNASE3
175,Neutrophil,LCN2
176,Monocyte,CD163
177,Monocyte,BSG
178,Dendritic cell,CLEC9A
179,Endothelial cell,RFTN1
180,Fibroblast,ACTA2
181,Fibroblast,CD36
182,Fibroblast,ADGRE5
183,Fibroblast,DES
184,Fibroblast,PTPN13
185,Fibroblast,PDGFRA
186,Fibroblast,PDGFRB
187,Fibroblast,VIM
191,M1 macrophage,CXCL10
196,Myofibroblast,FN1
197,T cell,FOXP3
198,CD8+ T cell,ITGAE
199,Pulmonary alveolar type II cells,ABCA3
200,Pulmonary alveolar type II cells,SLC34A2
201,Airway secretory cell,AQP3
202,Airway secretory cell,MUC5AC
203,Airway secretory cell,MUC5B
204,Airway secretory cell,PIGR
205,Lung epithelial cell,LPCAT1
206,Lung epithelial cell,NAPSA
207,Lung epithelial cell,SFTPB
208,Lung epithelial cell,SFTPC
209,Idiopathic pulmonary fibrosis cell,AKT2
210,Idiopathic pulmonary fibrosis cell,COL1A1
211,Idiopathic pulmonary fibrosis cell,IL10
212,Idiopathic pulmonary fibrosis cell,KRT14
213,Idiopathic pulmonary fibrosis cell,KRT5
214,Idiopathic pulmonary fibrosis cell,LTBP4
215,Idiopathic pulmonary fibrosis cell,NGFR
216,Idiopathic pulmonary fibrosis cell,PLA2G4C
217,Idiopathic pulmonary fibrosis cell,SLC26A8
218,Idiopathic pulmonary fibrosis cell,SPDEF
219,Basal cell,ACKR3
220,Basal cell,ADH7
221,Basal cell,ANXA8
222,Basal cell,ANXA8L1
223,Basal cell,ARL4D
224,Basal cell,ATP1B3
225,Basal cell,BMP7
226,Basal cell,C10orf99
227,Basal cell,C16orf74
228,Basal cell,CAPG
229,Basal cell,CAV1
230,Basal cell,CCND2
231,Basal cell,CD109
232,Basal cell,CLCA2
233,Basal cell,CLCA4
234,Basal cell,CLDN1
235,Basal cell,COL17A1
236,Basal cell,CSTA
237,Basal cell,DAPL1
238,Basal cell,DSC3
239,Basal cell,DSG3
240,Basal cell,DUSP7
241,Basal cell,FABP5
